ok;score;nombre;justificacion;marca;categoria;cuota;prom_categoria;desvio;ingredientes;toxicidad;red_flags;nutri_negativo;nutri_positivo;ultraprocesado;pobreza;amortiguacion;excesos;beneficiosos;alertas;id
;17;Alfajor De Maicena Conaprole 6 Ud;"El más benigno de los tres alfajores, y aun así queda en 17. Lleva sello de exceso de azúcares, que descuenta 15 puntos de una, más los 20 del ultraprocesado. Suma algo por la proteína y por tener huevo y vainilla natural en vez de sustitutos, pero el dulce de leche y el azúcar impalpable mandan.";Conaprole;Golosinas y Chocolates;alfajor;21;4;19.5;5.3;3.0;27.9;2.4;20.0;10.0;0.3;Grasas saturadas 6.17g | Azúcares -1;Proteínas 6.33g;;8ef8962c-a22d-4bdb-8955-13c7dadaf977
;7;Goma Mogul Oso Extreme 50 G;"Azúcar y jarabe de glucosa como base, y encima tres colorantes duros: azul brillante, rojo allura y dióxido de titanio, este último con la toxicidad máxima. Con 80 g de carbohidratos por 100 g y ultraprocesado, es de los productos más castigados del catálogo.";Mogul;Golosinas y Chocolates;gomitas;21;14;28.6;12.8;4.8;27.4;1.8;20.0;10.0;9.1;Azúcares 26.65g | Grasas saturadas -1;Proteínas 5g;MUY_AMORTIGUADO;8ebed2bb-1e21-482c-92f8-e0032b112367
;12;Gomitas Haribo Worms 80 G;"Sello de exceso de azúcares, 80 g de carbohidratos por cada 100 g y una lista larga de aditivos: almidón modificado, hidróxido de sodio, aceite mineral y rojo allura. La proteína de la gelatina es lo único que suma, y suma poco.";Haribo;Golosinas y Chocolates;gomitas;21;9;29.4;13.4;5.3;15.0;2.4;20.0;10.0;2.7;Azúcares -1;Proteínas 6.3g;;453912c2-a7a9-4df5-96ce-bf1ddbb3ff44
;13;Gomas Gelatina Beijos Fini 100 G;"85 g de carbohidratos por 100 g, casi todo azúcar y jarabe de glucosa. Lleva rojo allura y dióxido de titanio, dos colorantes de toxicidad alta, más aromatizante sin especificar. Ultraprocesado y sin ningún aporte nutricional que compense.";Fini;Golosinas y Chocolates;gomitas;21;8;27.9;13.2;5.2;15.0;2.6;20.0;10.0;1.8;Azúcares 25g;Proteínas 7g;;ba5541fb-40fe-4461-8160-4e54fce44cb2
;16;Hamburguesa Congelada Schneck 12 U 1 Kg;"Sorprende lo bajo para ser carne. La tabla nutricional descuenta 38 puntos por grasas y sodio, y el ultraprocesado otros 20. Pesan los aditivos: glutamato monosódico, tripolifosfato de sodio y polifosfato potásico. Los 18 g de proteína por 100 g no alcanzan a rescatarla.";Schneck;Congelados;sorpresa;64;48;14.6;9.8;3.4;38.3;6.7;20.0;5.0;0.5;Colesterol 105.95mg | Grasas saturadas 8.33g | Grasas trans 0.6g;Grasas monoinsaturadas 8.81g | Proteínas 17.86g;;74b55590-e690-4715-a5af-c7bc7df508d4
;16;Hamburguesas Sarubbi Gigante Extra Carne 4 U;"Mismo caso que las otras hamburguesas congeladas: buena proteína, pero 34 puntos de descuento por la tabla nutricional y 20 por ultraprocesado. Los polifosfatos y el difosfato de tetrasodio, usados para retener agua, arrastran el puntaje hacia abajo.";Sarubbi;Congelados;sorpresa;64;48;13.9;7.8;3.4;34.0;4.5;20.0;10.0;0.5;Grasas saturadas 8.5g | Grasas trans 0.63g | Sodio 833.75mg;Proteínas 17.5g;;4d655902-f1ce-4f3d-9dba-dcfd112f6bfc
;72;Galletas Dulces Sin Azúcar El Trigal 150 G;"La sorpresa del catálogo. Sin sello de exceso y con 22 g de fibra por 100 g gracias a la polidextrosa, más grasas monoinsaturadas del girasol alto oleico. La sucralosa descuenta algo, pero al no estar clasificada como ultraprocesada se salva de los 20 puntos que hunden a casi toda su categoría.";El Trigal;Galletitas Dulces;sorpresa;21;51;22.8;7.0;2.8;4.8;9.7;0.0;0.0;0.0;;Fibra alimentaria 22g | Grasas monoinsaturadas 9g | Grasas poliinsaturadas 0.67g | Proteínas 7g;PENALIZA_SIN_EXCESO_VISIBLE;fff7e161-84ca-4e19-a91c-ed292877ced0
;20;Hamburguesa Congelada Chori Schneck 2 U 167 G;"Mezcla de carne vacuna y porcina con buen puntaje de base, pero 30 puntos de descuento nutricional por grasas y sodio, más los 20 del ultraprocesado. El tripolifosfato de sodio es el aditivo que más pesa.";Schneck;Congelados;sorpresa;64;44;10.9;9.7;3.6;30.4;4.4;20.0;10.0;0.0;Grasas saturadas 6.9g | Sodio 765.48mg;Proteínas 16.67g;;935135d8-8084-4d3b-b12e-1b2d938a4eb5
;80;SAMAN Mini Galletas de Arroz Clásicas;"Dos ingredientes: arroz y sal. No está clasificada como ultraprocesada, no tiene aditivos y aporta 8,3 g de proteína y 4 g de fibra por 100 g. Los carbohidratos son altos y por eso no llega más arriba, pero es de lo mejor que hay en su categoría.";Saman;Galletitas Saladas;sorpresa;40;40;6.5;3.4;0.7;6.0;1.6;0.0;5.0;0.0;;Fibra alimentaria 4g | Proteínas 8.33g;PENALIZA_SIN_EXCESO_VISIBLE;9db44ddf-8076-4ba6-b994-5f4a0d4e04b2
;15;Bizcochos Dulces Hojalmar Palmeras 150 G;"Sello de exceso de azúcares, 490 kcal por cada 100 g y margarina vegetal como segundo ingrediente. Sumado al ultraprocesado y al aromatizante sabor manteca, queda entre los productos más castigados de la panadería industrial.";Hojalmar;Panes;sorpresa;51;36;17.3;7.2;3.0;38.5;4.8;20.0;5.0;0.9;Grasas saturadas 16g | Azúcares -1;Fibra alimentaria 3.67g | Proteínas 8.67g;;42a6b8d9-3206-4053-b065-fae4e2f10466
;96;Mango Congelado Cambay 500 G;"Fruta congelada sin nada agregado: un solo ingrediente con puntaje perfecto y sin aditivos. Aporta 1,4 g de fibra por 100 g, suficiente para contar. Lo único que lo separa del 100 es que no declara otros nutrientes.";Cambay;Congelados;sorpresa;64;32;-3.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;;Fibra alimentaria 1.4g;;a314a1af-164a-4391-8e17-cb3b75372d4f
;96;Anana Congelada Cambay 500 G;"Ananá congelada y nada más. Sin azúcar agregado, sin conservantes y con 1,9 g de fibra por 100 g. Como todas las frutas congeladas del catálogo, se queda muy arriba porque no hay nada que descontar.";Cambay;Congelados;sorpresa;64;32;-3.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;;Fibra alimentaria 1.9g;;7496af3f-57d1-48ad-a118-83f1c7fdd3d4
;79;Jugo Citric Naranja Tetra 250 Ml;"Un jugo con 79 puntos llama la atención, y la razón es que tiene un solo ingrediente: jugo de naranja exprimido, sin conservantes ni azúcar agregado. No suma más porque no declara vitamina C ni otros nutrientes que superen el umbral.";Citric;Jugos;sorpresa;46;33;4.8;5.6;1.0;0.0;0.0;0.0;10.0;0.0;;Fibra alimentaria 0.6g;;26af1470-4711-4100-896c-3fa4f7797ee8
;86;Aceite De Oliva Sibarita 500 Ml;"Aceite de oliva extra virgen puro, sin refinados ni antioxidantes sintéticos. Las grasas monoinsaturadas, 65 g por cada 100 ml, suman el máximo posible. Pierde 12 puntos por la densidad calórica, inevitable en cualquier aceite, pero se queda entre los mejor puntuados.";Sibarita;Aceites y Vinagres;sorpresa;56;30;-0.4;0.0;0.0;12.0;0.4;0.0;3.0;0.0;Grasas saturadas 15.38g;Grasas monoinsaturadas 65.38g | Grasas poliinsaturadas 11.54g;;4efc71b5-d59c-451d-9f8f-4d30b44347b2
;86;ACEITE OLIVA EXTRA VIRGEN RIO DE LA PLATA 500 Ml;"Extra virgen de un solo ingrediente, con 61 g de grasas monoinsaturadas y 14 g de poliinsaturadas por 100 ml. El único descuento serio son las 823 kcal por 100 ml, que todo aceite arrastra por definición.";Rio De La Plata;Aceites y Vinagres;sorpresa;56;30;-0.4;0.0;0.0;12.0;0.4;0.0;3.0;0.0;Grasas saturadas 16.92g;Grasas monoinsaturadas 60.77g | Grasas poliinsaturadas 13.85g;;5a939a15-5558-4037-a108-6774d4477636
;86;Aceite De Oliva Seleccion Natura 500 Ml;"Mismo perfil que los otros extra vírgenes: ingrediente único, sin aditivos, con el máximo de puntos por grasas monoinsaturadas. El contraste con los aceites de semilla del catálogo lo da la ausencia de antioxidantes sintéticos.";Natura;Aceites y Vinagres;sorpresa;56;30;-0.4;0.0;0.0;12.0;0.4;0.0;3.0;0.0;Grasas saturadas 15.38g;Grasas monoinsaturadas 63.85g | Grasas poliinsaturadas 12.31g;;f8c1cc38-1e32-4112-81ee-7260f996c4ef
;66;Aderezo Mostaza Dijon Maille 215 G;"Base simple de agua, semillas de mostaza y vinagre, todos con buen puntaje. Pierde por el metabisulfito de potasio, un conservante de toxicidad media, por el sodio y por no aportar casi ningún nutriente más allá de la proteína de la semilla.";Maille;Aderezos;sorpresa;33;33;8.3;5.6;1.4;12.0;2.9;0.0;10.0;0.0;Sodio 1925mg;Proteínas 8.33g;;ccf50f27-c02f-47d1-9784-be7e0334c2a0
;61;Masa Para Tarta Con Semillas Avanti;"Las semillas de lino, chía y sésamo levantan bastante: aportan fibra y grasas buenas, y tienen puntajes de ingrediente muy altos. Lo que la frena son los 20 puntos de ultraprocesado y los conservantes propionato de calcio y cloruro de potasio.";Avanti;Masas;sorpresa;27;34;8.9;4.0;1.9;8.4;4.2;20.0;0.0;0.0;;Fibra alimentaria 3g | Grasas monoinsaturadas 6.67g | Grasas poliinsaturadas 2.33g | Proteínas 6.67g;PENALIZA_SIN_EXCESO_VISIBLE;7cea54a1-bfe8-43a8-8283-ccd8a98759a6
;85;Leche Conaprole UHT Descremada 0% lactosa 1L;"Un solo ingrediente y 113 mg de calcio por cada 100 ml, que suma el máximo por ese nutriente, más proteína suficiente. Sin aditivos ni azúcar agregado. El descuento viene del procesamiento de la leche sin lactosa, no de su composición.";Conaprole;Leches y Yogures;sorpresa;59;27;10.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;;Calcio 113.5mg | Proteínas 3.55g;;09387563-afec-4044-8348-66ec82b8f4f4
;97;Almendras Peladas Rio De La Plata 100 G;"Ingrediente único con 12 g de fibra y 20,7 g de proteína por cada 100 g, ambos cerca del máximo que el modelo puede acreditar. Las 613 kcal por 100 g son altas pero provienen de grasas buenas, así que el impacto es mínimo.";Rio De La Plata;Frutos Secos;sorpresa;74;23;-0.4;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;Fibra alimentaria 12g | Proteínas 20.67g;;86b7d26b-b3bd-4eca-be3d-aa2e6cb31a57
;70;Galletas De Arroz Cerealitas 160 G;"Cuatro ingredientes simples y ningún aditivo, lo que la salva de la clasificación de ultraprocesado que hunde a casi toda su categoría. Descuenta por los 81 g de carbohidratos por 100 g, pero aporta 8 g de proteína y algo de fibra.";Cerealitas;Galletitas Saladas;sorpresa;40;30;10.5;4.2;1.6;12.0;3.1;0.0;5.0;0.0;;Fibra alimentaria 1.56g | Proteínas 8.13g;PENALIZA_SIN_EXCESO_VISIBLE;82b7fc07-48d3-4a7c-980f-85c2217d8afa
;80;Aceite De Oliva Rio De La Pla 250 Ml;"Aceite de oliva, aunque no declarado extra virgen, lo que le baja algo el puntaje de ingrediente frente a sus pares. Mantiene el perfil de grasas monoinsaturadas alto y no lleva aditivos, así que queda apenas por debajo del resto de los aceites de oliva.";Rio De La Plata;Aceites y Vinagres;sorpresa;56;24;4.8;0.0;0.0;12.0;1.9;0.0;5.0;0.0;Grasas saturadas 16.92g;Grasas monoinsaturadas 60.77g | Grasas poliinsaturadas 13.85g;;9ebe2f87-281f-4eba-8628-6519318a1076
;58;Masa Para Tarta Integral Avanti;"El salvado y la harina integral aportan 5 g de fibra por 100 g, el doble que la versión común. Aun así pierde 20 puntos por ultraprocesado y arrastra conservantes: propionato de calcio, ácido sórbico y mono y diglicéridos.";Avanti;Masas;sorpresa;27;31;12.6;4.8;2.6;8.2;6.0;20.0;0.0;0.0;;Fibra alimentaria 5g | Grasas monoinsaturadas 7g | Grasas poliinsaturadas 1g | Proteínas 6g;PENALIZA_SIN_EXCESO_VISIBLE;fd718339-44e6-4b43-95a0-4dd35c630148
;82;Leche Entera La Serenísima Bot 1.00 L. Natural;"Leche entera fortificada con vitaminas A y D. Suma por calcio, proteína y las dos vitaminas agregadas, cuatro nutrientes por encima del umbral. Descuenta apenas por las grasas saturadas propias de la leche entera.";La Serenísima;Leches y Yogures;sorpresa;59;24;13.6;3.9;1.2;5.3;6.1;0.0;0.0;0.0;;Calcio 105mg | Proteínas 3g | Vitamina A 64µg | Vitamina D 1µg;PENALIZA_SIN_EXCESO_VISIBLE;2a691c91-ab85-42ca-9b7b-462807021ff7
;81;Leche Descremada La Serenísima 1.00 L. Natural;"Sin descuento nutricional alguno: al ser descremada no tiene grasas saturadas que penalizar. Suma calcio, proteína y las vitaminas A y D agregadas. Queda un punto por debajo de la entera solo por el mayor procesamiento del descremado.";La Serenísima;Leches y Yogures;sorpresa;59;23;20.4;3.9;1.2;0.0;6.7;0.0;0.0;0.0;;Calcio 105mg | Proteínas 3g | Vitamina A 64µg | Vitamina D 1µg;;636b0868-ffaa-4645-afd2-9cccfa4c11fb
;52;Galletas Dulce Sin Azúcar El Trigal Chocolate 150 G;"Tiene 23 g de fibra por 100 g, incluso más que su hermana de vainilla, y suma el máximo posible por nutrientes beneficiosos. La diferencia de 20 puntos entre ambas es que esta sí está clasificada como ultraprocesada, con una lista de ingredientes casi idéntica.";El Trigal;Galletitas Dulces;sorpresa;21;31;22.7;7.0;2.9;5.3;10.0;20.0;0.0;0.0;;Fibra alimentaria 23.33g | Grasas monoinsaturadas 9g | Grasas poliinsaturadas 0.67g | Proteínas 8g;PENALIZA_SIN_EXCESO_VISIBLE;9422dd33-be83-4a17-90fc-a7e2663f3d00
;16;Galletas Al Agua Famosa Pack 420 G;"La galleta de agua tiene fama de liviana, pero acá pierde 32 puntos por la tabla nutricional: 430 kcal y 70 g de carbohidratos por 100 g, con grasa vacuna refinada como segundo ingrediente. Los 20 del ultraprocesado terminan de hundirla.";Famosa;Galletitas Saladas;trampa;40;24;20.9;7.4;3.2;32.2;4.8;20.0;5.0;0.4;Grasas trans 0.67g | Sodio 636.67mg;Fibra alimentaria 2.67g | Proteínas 11g;;79837503-512b-4dc0-a4a1-7d2ac7f8f9dc
;19;Snack Saladix Arcor Jamon Caja 100 G;"Se vende como snack horneado, pero encabeza la lista el aceite y sigue el azúcar. Pierde 25 puntos por la tabla nutricional, 20 por ultraprocesado y arrastra metabisulfito de sodio y jarabe de glucosa. Aporta algo de proteína del queso en polvo, nada más.";Saladix;Galletitas Saladas;trampa;40;21;22.9;7.9;3.7;25.5;3.9;20.0;5.0;0.0;Sodio 833.33mg;Fibra alimentaria 2g | Proteínas 9g;;f84f52b8-e68e-4d79-a3be-60080225ce8d
;23;Refresco En Polvo Tang Naranja Dulce 18 G;"El primer ingrediente es azúcar y aun así lleva aspartamo y acesulfamo K, o sea que combina azúcar con edulcorantes. Con 66 g de carbohidratos por 100 g de polvo y 14 ingredientes, lo único que suma es la vitamina D agregada.";Tang;Jugos;trampa;46;23;28.1;11.1;3.2;27.0;2.9;0.0;10.0;0.0;Azúcares 63.89g | Sodio 750mg;Vitamina D 20.83µg;;829f580c-0fe9-4d69-af0b-bf9877ea54cb
;20;Snack Saladix Arcor Calabre Bolsa 100 G;"Idéntico a su hermano de jamón en composición y puntaje: aceite y azúcar arriba de la lista, ultraprocesado, metabisulfito de sodio y 440 kcal por 100 g. La categoría entera de snacks salados se ubica en este rango.";Saladix;Galletitas Saladas;trampa;40;20;22.9;7.9;3.7;24.2;4.1;20.0;5.0;0.0;Sodio 843.33mg;Fibra alimentaria 2g | Proteínas 9.67g;;e4a6f7a9-aef8-4509-b41c-0eba70cdca70
;25;Galletas Cracker Finitas La Celestina 300 G;Cracker salada con grasa vacuna refinada como segundo ingrediente y 427 kcal por 100 g. Pierde 24 puntos por la tabla nutricional y 20 por ultraprocesado. La proteína del trigo es lo único que rescata.;Fini;Galletitas Saladas;trampa;40;15;21.9;5.3;2.8;24.0;4.5;20.0;5.0;0.0;Grasas saturadas 6g;Fibra alimentaria 2g | Proteínas 11.33g;;10757f2b-de6d-4129-9911-2a8f03f48384
;29;Jugo Dairyco Naranja Light 500 Ml;"Casi todo el castigo viene de los ingredientes, no del azúcar: benzoato de sodio, sorbato de potasio y sucralosa sobre un jugo reconstituido, no exprimido. Sin azúcar no hay descuento nutricional, pero tampoco queda ningún nutriente que acreditar.";Dairyco;Jugos;trampa;46;17;39.3;12.0;4.3;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;3701257c-604e-4c58-8bd3-436a78459dcb
;21;Agua Saborizada Salus Sin Gas Frutte Pomelo 1.5 L;"Parece agua, pero lleva azúcar invertido, acesulfamo K, benzoato de sodio y aromatizante sin especificar, doce ingredientes en total. Está clasificada como ultraprocesada y no aporta ningún nutriente. De agua tiene el nombre.";Salus;Aguas Saborizadas;trampa;32;11;16.8;9.2;3.2;14.5;0.0;20.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR PENALIZA_SIN_EXCESO_VISIBLE;926b3ce0-d22c-486d-b0a0-e8c5f918c761
;37;Galletas Cerealitas Avena Cacao 170 Gr;"La avena, el salvado y la harina integral aportan 4,4 g de fibra por 100 g y algo de proteína. Pero el azúcar es el segundo ingrediente, tiene 434 kcal por 100 g y está clasificada como ultraprocesada. El rótulo promete más de lo que entrega.";Cerealitas;Galletitas Dulces;trampa;21;16;15.8;5.0;2.8;19.6;5.1;20.0;5.0;0.0;Azúcares 22.81g;Fibra alimentaria 4.38g | Proteínas 8.44g;;c3b3dc33-cfd7-4d6f-91be-d791d90590f8
;32;Jugo Dairyco Naranja 500 Ml;"Jugo reconstituido, no exprimido, con benzoato de sodio y sorbato de potasio. El descuento por ingredientes es de los más altos del catálogo, y como no declara ningún nutriente por encima del umbral, se lleva además la penalización completa por pobreza nutricional.";Dairyco;Jugos;trampa;46;14;37.7;11.8;3.6;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;4dcd321f-694c-404b-a9a0-a6772e4e8c62
;22;Agua Saborizada Salus Frutte Sin Gas Manzana 1.5 L;"Mismo caso que la versión de pomelo: azúcar invertido, benzoato de sodio, sorbato de potasio y aromatizante sin especificar, sobre una base de agua mineral. Ultraprocesada y sin ningún aporte nutricional.";Salus;Aguas Saborizadas;trampa;32;10;16.8;9.1;3.1;14.5;0.0;20.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR PENALIZA_SIN_EXCESO_VISIBLE;dc2e5dc9-754e-44c8-b2b4-5ced7b9ab435
;34;Jugo Citric Natanja 3 L;"Parte de jugo de naranja exprimido, igual que la versión chica que puntúa 79, pero acá se agregan sorbato de potasio, benzoato de sodio y ácido ascórbico como conservantes. Esos tres aditivos explican los 45 puntos de diferencia entre un formato y otro.";Citric;Jugos;trampa;46;12;27.0;10.8;3.5;15.0;0.1;0.0;10.0;0.0;Azúcares 8.5g;Fibra alimentaria 0.6g;;6cd297ae-816f-49a5-9fa7-b363108514b5
;49;Helado Crufi Diet Frutilla con Frutilla en Trozos 1 L;"Sin azúcar agregado y con 6,5 g de fibra por 100 g gracias a la polidextrosa, además de solo 95 kcal. Lo que lo frena son los 20 puntos del ultraprocesado y la salsa de frutilla, que trae colorantes y conservantes en su propia lista.";Crufi;Helados;trampa;33;16;14.2;8.3;2.4;5.3;3.8;20.0;5.0;0.0;;Fibra alimentaria 6.5g | Proteínas 3.5g;PENALIZA_SIN_EXCESO_VISIBLE;d84b4c9e-3835-4d95-811b-1578fa985da6
;46;Helado Crufi Diet Flan Con Dulce De Leche 1 L;"Diez gramos de fibra por 100 g y menos de 100 kcal, un perfil nutricional inusual para un helado. Pierde por el ultraprocesado y porque la salsa de dulce de leche incluye eritritol, colorantes y conservantes dentro del propio ingrediente.";Crufi;Helados;trampa;33;13;15.1;10.2;2.5;6.0;5.2;20.0;5.0;0.0;;Fibra alimentaria 10.17g | Proteínas 4.33g;PENALIZA_SIN_EXCESO_VISIBLE;c9646ed0-4ebf-4bb4-a949-555d35d6d63b
;28;BISCOITO INTEGRAL COM MORANGO E CEREAIS;"Se presenta como integral y con cereales, y efectivamente aporta 4,7 g de fibra por 100 g. Pero el azúcar es el segundo ingrediente, tiene 460 kcal por 100 g y el preparado de frutilla suma colorantes, conservantes y estabilizantes por dentro.";Nesfit;Galletitas Dulces;trampa;21;7;16.2;11.1;3.3;22.1;5.5;20.0;5.0;0.0;Azúcares 22g;Fibra alimentaria 4.67g | Proteínas 9.67g;;e3bd5c78-f2ad-4257-85ed-ba2d0beb98cb
;43;Agua Saborizada H2Oh! Naranchello 1.5 L;"Sin azúcar agregado, lo que evita el descuento nutricional, pero con dieciocho ingredientes: acidulantes, aromatizantes, conservantes y vitaminas agregadas. Está clasificada como ultraprocesada y lo único que acredita es un poco de niacina.";H2O;Aguas Saborizadas;trampa;32;11;15.8;9.6;1.9;0.0;0.4;20.0;10.0;0.0;;Niacina 1.6mg;;9d3b2c15-d77a-42f7-b919-cd0454a7541f
;17;Refresco Gatorade Manzana 1.25 L;"El segundo ingrediente es jarabe de maíz de alta fructosa y el tercero azúcar. Sello de exceso de azúcares, ultraprocesado y cero nutrientes acreditables. La bebida deportiva puntúa igual que un refresco común porque, en composición, lo es.";Gatorade;Energizantes;trampa;19;2;18.4;11.1;3.2;15.0;0.0;20.0;15.0;0.2;Azúcares 6g;;;2c7cb5a7-9971-4ebc-a7be-3cd76f30802e
;38;Jugo Dairyco Naranja/Ma Light 3 L;"Jugos reconstituidos de naranja y mango con benzoato de sodio, sorbato de potasio y sucralosa. Sin azúcar no hay descuento nutricional, pero la carga de conservantes y la ausencia total de nutrientes acreditables lo dejan abajo.";Dairyco;Jugos;trampa;46;8;32.4;11.0;4.0;0.0;0.0;0.0;15.0;0.0;;;SIN_NUTRIENTES_QUE_MOSTRAR;6a9c5671-7481-48a7-abcf-7c1abdc1679b
;39;Queso Para Untar Requesón Conaprole Light 250 G;"Base láctea buena, con 13 g de proteína por 100 g. Pero pierde 25 puntos por la tabla nutricional, sobre todo sodio, y otros 20 por ultraprocesado, con fosfatos y estabilizantes en la lista. El light refiere a la grasa, no al resto.";Conaprole;Quesos;trampa;32;8;8.6;5.5;1.6;25.0;5.0;20.0;5.0;0.0;Grasas saturadas 6.33g | Sodio 740mg;Grasas monoinsaturadas 3g | Proteínas 13.33g;;ae59c410-4cca-430e-ba24-14a063c5720e
